t kinetic_energy max_velocity
0.0469 0.217431 0.93696
0.047 0.217369 0.936857
0.0471 0.217307 0.936753
0.0472 0.217245 0.936649
0.0473 0.217183 0.936546
0.0474 0.217121 0.936442
0.0475 0.217059 0.936338
0.0476 0.216997 0.936234
0.0477 0.216935 0.936131
0.0478 0.216874 0.936027
0.0479 0.216812 0.935924
0.048 0.21675 0.93582
0.0481 0.216688 0.935716
0.0482 0.216627 0.935613
0.0483 0.216565 0.935509
0.0484 0.216503 0.935406
0.0485 0.216442 0.935302
0.0486 0.21638 0.935199
0.0487 0.216318 0.935095
0.0488 0.216257 0.934992
0.0489 0.216195 0.934889
0.049 0.216134 0.934785
0.0491 0.216072 0.934682
0.0492 0.216011 0.934578
0.0493 0.21595 0.934475
0.0494 0.215888 0.934372
0.0495 0.215827 0.934268
0.0496 0.215765 0.934165
0.0497 0.215704 0.934062
0.0498 0.215643 0.933958
0.0499 0.215582 0.933855
0.05 0.21552 0.933752
0.0501 0.215459 0.933649
0.0502 0.215398 0.933545
0.0503 0.215337 0.933442
0.0504 0.215276 0.933339
0.0505 0.215215 0.933236
0.0506 0.215153 0.933133
0.0507 0.215092 0.93303
0.0508 0.215031 0.932927
0.0509 0.21497 0.932824
0.051 0.214909 0.93272
0.0511 0.214848 0.932617
0.0512 0.214787 0.932514
0.0513 0.214727 0.932411
0.0514 0.214666 0.932308
0.0515 0.214605 0.932205
0.0516 0.214544 0.932102
0.0517 0.214483 0.931999
0.0518 0.214422 0.931896
0.0519 0.214362 0.931794
0.052 0.214301 0.931691
0.0521 0.21424 0.931588
0.0522 0.21418 0.931485
0.0523 0.214119 0.931382
0.0524 0.214058 0.931279
0.0525 0.213998 0.931176
0.0526 0.213937 0.931074
0.0527 0.213877 0.930971
0.0528 0.213816 0.930868
0.0529 0.213756 0.930765
0.053 0.213695 0.930663
0.0531 0.213635 0.93056
0.0532 0.213574 0.930457
0.0533 0.213514 0.930355
0.0534 0.213454 0.930252
0.0535 0.213393 0.930149
0.0536 0.213333 0.930047
0.0537 0.213273 0.929944
0.0538 0.213212 0.929841
0.0539 0.213152 0.929739
0.054 0.213092 0.929636
0.0541 0.213032 0.929534
0.0542 0.212972 0.929431
0.0543 0.212911 0.929329
0.0544 0.212851 0.929226
0.0545 0.212791 0.929124
0.0546 0.212731 0.929021
0.0547 0.212671 0.928919
0.0548 0.212611 0.928816
0.0549 0.212551 0.928714
0.055 0.212491 0.928612
0.0551 0.212431 0.928509
0.0552 0.212371 0.928407
0.0553 0.212311 0.928305
0.0554 0.212252 0.928202
0.0555 0.212192 0.9281
0.0556 0.212132 0.927998
0.0557 0.212072 0.927895
0.0558 0.212012 0.927793
0.0559 0.211953 0.927691
0.056 0.211893 0.927589
0.0561 0.211833 0.927486
0.0562 0.211774 0.927384
0.0563 0.211714 0.927282
0.0564 0.211654 0.92718
0.0565 0.211595 0.927078
0.0566 0.211535 0.926976
0.0567 0.211476 0.926874
0.0568 0.211416 0.926771
0.0569 0.211357 0.926669
0.057 0.211297 0.926567
0.0571 0.211238 0.926465
0.0572 0.211178 0.926363
0.0573 0.211119 0.926261
0.0574 0.21106 0.926159
0.0575 0.211 0.926057
0.0576 0.210941 0.925955
0.0577 0.210882 0.925853
0.0578 0.210822 0.925752
0.0579 0.210763 0.92565
0.058 0.210704 0.925548
0.0581 0.210645 0.925446
0.0582 0.210585 0.925344
0.0583 0.210526 0.925242
0.0584 0.210467 0.92514
0.0585 0.210408 0.925039
0.0586 0.210349 0.924937
0.0587 0.21029 0.924835
0.0588 0.210231 0.924733
0.0589 0.210172 0.924632
0.059 0.210113 0.92453
0.0591 0.210054 0.924428
0.0592 0.209995 0.924326
0.0593 0.209936 0.924225
0.0594 0.209877 0.924123
0.0595 0.209818 0.924021
0.0596 0.20976 0.92392
0.0597 0.209701 0.923818
0.0598 0.209642 0.923717
0.0599 0.209583 0.923615
0.06 0.209525 0.923514
0.0601 0.209466 0.923412
0.0602 0.209407 0.92331
0.0603 0.209348 0.923209
0.0604 0.20929 0.923107
0.0605 0.209231 0.923006
0.0606 0.209173 0.922905
0.0607 0.209114 0.922803
0.0608 0.209055 0.922702
0.0609 0.208997 0.9226
0.061 0.208938 0.922499
0.0611 0.20888 0.922398
0.0612 0.208822 0.922296
0.0613 0.208763 0.922195
0.0614 0.208705 0.922094
0.0615 0.208646 0.921992
0.0616 0.208588 0.921891
0.0617 0.20853 0.92179
0.0618 0.208471 0.921688
0.0619 0.208413 0.921587
0.062 0.208355 0.921486
0.0621 0.208296 0.921385
0.0622 0.208238 0.921284
0.0623 0.20818 0.921182
0.0624 0.208122 0.921081
0.0625 0.208064 0.92098
0.0626 0.208006 0.920879
0.0627 0.207948 0.920778
0.0628 0.207889 0.920677
0.0629 0.207831 0.920576
0.063 0.207773 0.920475
0.0631 0.207715 0.920374
0.0632 0.207657 0.920273
0.0633 0.207599 0.920172
0.0634 0.207542 0.920071
0.0635 0.207484 0.91997
0.0636 0.207426 0.919869
0.0637 0.207368 0.919768
0.0638 0.20731 0.919667
0.0639 0.207252 0.919566
0.064 0.207194 0.919465
0.0641 0.207137 0.919364
0.0642 0.207079 0.919263
0.0643 0.207021 0.919162
0.0644 0.206963 0.919061
0.0645 0.206906 0.918961
0.0646 0.206848 0.91886
0.0647 0.20679 0.918759
0.0648 0.206733 0.918658
0.0649 0.206675 0.918558
0.065 0.206618 0.918457
0.0651 0.20656 0.918356
0.0652 0.206503 0.918255
0.0653 0.206445 0.918155
0.0654 0.206388 0.918054
0.0655 0.20633 0.917953
0.0656 0.206273 0.917853
0.0657 0.206215 0.917752
0.0658 0.206158 0.917652
0.0659 0.206101 0.917551
0.066 0.206043 0.91745
0.0661 0.205986 0.91735
0.0662 0.205929 0.917249
0.0663 0.205871 0.917149
0.0664 0.205814 0.917048
0.0665 0.205757 0.916948
0.0666 0.2057 0.916847
0.0667 0.205643 0.916747
0.0668 0.205585 0.916646
0.0669 0.205528 0.916546
0.067 0.205471 0.916446
0.0671 0.205414 0.916345
0.0672 0.205357 0.916245
0.0673 0.2053 0.916144
0.0674 0.205243 0.916044
0.0675 0.205186 0.915944
0.0676 0.205129 0.915843
0.0677 0.205072 0.915743
0.0678 0.205015 0.915643
0.0679 0.204958 0.915543
0.068 0.204901 0.915442
0.0681 0.204844 0.915342
0.0682 0.204788 0.915242
0.0683 0.204731 0.915142
0.0684 0.204674 0.915041
0.0685 0.204617 0.914941
0.0686 0.20456 0.914841
0.0687 0.204504 0.914741
0.0688 0.204447 0.914641
0.0689 0.20439 0.914541
0.069 0.204334 0.914441
0.0691 0.204277 0.914341
0.0692 0.20422 0.914241
0.0693 0.204164 0.91414
0.0694 0.204107 0.91404
0.0695 0.204051 0.91394
0.0696 0.203994 0.91384
0.0697 0.203938 0.91374
0.0698 0.203881 0.913641
0.0699 0.203825 0.913541
0.07 0.203768 0.913441
0.0701 0.203712 0.913341
0.0702 0.203655 0.913241
0.0703 0.203599 0.913141
0.0704 0.203543 0.913041
0.0705 0.203486 0.912941
0.0706 0.20343 0.912841
0.0707 0.203374 0.912742
0.0708 0.203318 0.912642
0.0709 0.203261 0.912542
0.071 0.203205 0.912442
0.0711 0.203149 0.912342
0.0712 0.203093 0.912243
0.0713 0.203037 0.912143
0.0714 0.20298 0.912043
0.0715 0.202924 0.911944
0.0716 0.202868 0.911844
0.0717 0.202812 0.911744
0.0718 0.202756 0.911645
0.0719 0.2027 0.911545
0.072 0.202644 0.911445
0.0721 0.202588 0.911346
0.0722 0.202532 0.911246
0.0723 0.202476 0.911147
0.0724 0.20242 0.911047
0.0725 0.202364 0.910947
0.0726 0.202309 0.910848
0.0727 0.202253 0.910748
0.0728 0.202197 0.910649
0.0729 0.202141 0.91055
0.073 0.202085 0.91045
0.0731 0.20203 0.910351
0.0732 0.201974 0.910251
0.0733 0.201918 0.910152
0.0734 0.201862 0.910052
0.0735 0.201807 0.909953
0.0736 0.201751 0.909854
0.0737 0.201695 0.909754
0.0738 0.20164 0.909655
0.0739 0.201584 0.909556
0.074 0.201529 0.909456
0.0741 0.201473 0.909357
0.0742 0.201418 0.909258
0.0743 0.201362 0.909159
0.0744 0.201307 0.909059
0.0745 0.201251 0.90896
0.0746 0.201196 0.908861
0.0747 0.20114 0.908762
0.0748 0.201085 0.908663
0.0749 0.201029 0.908563
0.075 0.200974 0.908464
0.0751 0.200919 0.908365
0.0752 0.200863 0.908266
0.0753 0.200808 0.908167
0.0754 0.200753 0.908068
0.0755 0.200698 0.907969
0.0756 0.200642 0.90787
0.0757 0.200587 0.907771
0.0758 0.200532 0.907672
0.0759 0.200477 0.907573
0.076 0.200422 0.907474
0.0761 0.200367 0.907375
0.0762 0.200311 0.907276
0.0763 0.200256 0.907177
0.0764 0.200201 0.907078
0.0765 0.200146 0.906979
0.0766 0.200091 0.90688
0.0767 0.200036 0.906781
0.0768 0.199981 0.906682
0.0769 0.199926 0.906583
0.077 0.199871 0.906485
0.0771 0.199816 0.906386
0.0772 0.199762 0.906287
0.0773 0.199707 0.906188
0.0774 0.199652 0.906089
0.0775 0.199597 0.905991
0.0776 0.199542 0.905892
0.0777 0.199487 0.905793
0.0778 0.199433 0.905694
0.0779 0.199378 0.905596
0.078 0.199323 0.905497
0.0781 0.199268 0.905398
0.0782 0.199214 0.9053
0.0783 0.199159 0.905201
0.0784 0.199104 0.905103
0.0785 0.19905 0.905004
0.0786 0.198995 0.904905
0.0787 0.198941 0.904807
0.0788 0.198886 0.904708
0.0789 0.198832 0.90461
0.079 0.198777 0.904511
0.0791 0.198723 0.904413
0.0792 0.198668 0.904314
0.0793 0.198614 0.904216
0.0794 0.198559 0.904117
0.0795 0.198505 0.904019
0.0796 0.19845 0.90392
0.0797 0.198396 0.903822
0.0798 0.198342 0.903724
0.0799 0.198287 0.903625
0.08 0.198233 0.903527
0.0801 0.198179 0.903428
0.0802 0.198124 0.90333
0.0803 0.19807 0.903232
0.0804 0.198016 0.903133
0.0805 0.197962 0.903035
0.0806 0.197908 0.902937
0.0807 0.197853 0.902839
0.0808 0.197799 0.90274
0.0809 0.197745 0.902642
0.081 0.197691 0.902544
0.0811 0.197637 0.902446
0.0812 0.197583 0.902348
0.0813 0.197529 0.902249
0.0814 0.197475 0.902151
0.0815 0.197421 0.902053
0.0816 0.197367 0.901955
0.0817 0.197313 0.901857
0.0818 0.197259 0.901759
0.0819 0.197205 0.901661
0.082 0.197151 0.901563
0.0821 0.197097 0.901465
0.0822 0.197043 0.901366
0.0823 0.196989 0.901268
0.0824 0.196936 0.90117
0.0825 0.196882 0.901072
0.0826 0.196828 0.900975
0.0827 0.196774 0.900877
0.0828 0.19672 0.900779
0.0829 0.196667 0.900681
0.083 0.196613 0.900583
0.0831 0.196559 0.900485
0.0832 0.196506 0.900387
0.0833 0.196452 0.900289
0.0834 0.196398 0.900191
0.0835 0.196345 0.900093
0.0836 0.196291 0.899996
0.0837 0.196238 0.899898
0.0838 0.196184 0.8998
0.0839 0.196131 0.899702
0.084 0.196077 0.899604
0.0841 0.196024 0.899507
0.0842 0.19597 0.899409
0.0843 0.195917 0.899311
0.0844 0.195863 0.899214
0.0845 0.19581 0.899116
0.0846 0.195756 0.899018
0.0847 0.195703 0.898921
0.0848 0.19565 0.898823
0.0849 0.195596 0.898725
0.085 0.195543 0.898628
0.0851 0.19549 0.89853
0.0852 0.195436 0.898432
0.0853 0.195383 0.898335
0.0854 0.19533 0.898237
0.0855 0.195277 0.89814
0.0856 0.195224 0.898042
0.0857 0.19517 0.897945
0.0858 0.195117 0.897847
0.0859 0.195064 0.89775
0.086 0.195011 0.897652
0.0861 0.194958 0.897555
0.0862 0.194905 0.897457
0.0863 0.194852 0.89736
0.0864 0.194799 0.897263
0.0865 0.194746 0.897165
0.0866 0.194693 0.897068
0.0867 0.19464 0.896971
0.0868 0.194587 0.896873
0.0869 0.194534 0.896776
0.087 0.194481 0.896679
0.0871 0.194428 0.896581
0.0872 0.194375 0.896484
0.0873 0.194322 0.896387
0.0874 0.194269 0.896289
0.0875 0.194217 0.896192
0.0876 0.194164 0.896095
0.0877 0.194111 0.895998
0.0878 0.194058 0.895901
0.0879 0.194006 0.895803
0.088 0.193953 0.895706
0.0881 0.1939 0.895609
0.0882 0.193847 0.895512
0.0883 0.193795 0.895415
0.0884 0.193742 0.895318
0.0885 0.193689 0.895221
0.0886 0.193637 0.895124
0.0887 0.193584 0.895027
0.0888 0.193532 0.894929
0.0889 0.193479 0.894832
0.089 0.193427 0.894735
0.0891 0.193374 0.894638
0.0892 0.193322 0.894541
0.0893 0.193269 0.894444
0.0894 0.193217 0.894348
0.0895 0.193164 0.894251
0.0896 0.193112 0.894154
0.0897 0.193059 0.894057
0.0898 0.193007 0.89396
0.0899 0.192955 0.893863
0.09 0.192902 0.893766
0.0901 0.19285 0.893669
0.0902 0.192798 0.893572
0.0903 0.192745 0.893476
0.0904 0.192693 0.893379
0.0905 0.192641 0.893282
0.0906 0.192589 0.893185
0.0907 0.192536 0.893088
0.0908 0.192484 0.892992
0.0909 0.192432 0.892895
0.091 0.19238 0.892798
0.0911 0.192328 0.892702
0.0912 0.192276 0.892605
0.0913 0.192224 0.892508
0.0914 0.192172 0.892412
0.0915 0.19212 0.892315
0.0916 0.192067 0.892218
0.0917 0.192015 0.892122
0.0918 0.191963 0.892025
0.0919 0.191911 0.891928
0.092 0.19186 0.891832
0.0921 0.191808 0.891735
0.0922 0.191756 0.891639
0.0923 0.191704 0.891542
0.0924 0.191652 0.891446
0.0925 0.1916 0.891349
0.0926 0.191548 0.891253
0.0927 0.191496 0.891156
0.0928 0.191444 0.89106
0.0929 0.191393 0.890963
0.093 0.191341 0.890867
0.0931 0.191289 0.890771
0.0932 0.191237 0.890674
0.0933 0.191186 0.890578
0.0934 0.191134 0.890481
