t kinetic_energy max_velocity div_max
0.764 0.970231 1.28157 0
0.765 0.989398 1.29121 0
0.766 0.993643 1.29345 0
0.767 0.981657 1.28763 0
0.768 0.976644 1.28448 0
0.769 0.97967 1.28607 0
0.77 0.981714 1.28729 0
0.771 0.976259 1.28415 0
0.772 0.981861 1.28701 0
0.773 0.981245 1.28669 0
0.774 0.975083 1.2835 0
0.775 0.978539 1.28516 0
0.776 0.980555 1.28613 0
0.777 0.983257 1.28757 0
0.778 0.975725 1.28405 0
0.779 0.980205 1.28592 0
0.78 0.985268 1.28856 0
0.781 0.978129 1.28514 0
0.782 0.975823 1.28363 0
0.783 0.987882 1.28961 0
0.784 0.98008 1.28545 0
0.785 0.981958 1.28663 0
0.786 0.976066 1.28413 0
0.787 0.965351 1.27787 0
0.788 0.980019 1.28542 0
0.789 0.988011 1.28921 0
0.79 0.972666 1.28144 0
0.791 0.977826 1.28431 0
0.792 0.973697 1.28169 0
0.793 0.979697 1.28546 0
0.794 0.976394 1.28295 0
0.795 0.981799 1.28554 0
0.796 0.993837 1.29264 0
0.797 0.977085 1.28317 0
0.798 0.981263 1.2856 0
0.799 0.981571 1.2857 0
0.8 0.981272 1.28565 0
0.801 0.974584 1.28215 0
0.802 0.983439 1.28682 0
0.803 0.97528 1.28224 0
0.804 0.983841 1.28642 0
0.805 0.975608 1.28206 0
0.806 0.966069 1.27734 0
0.807 0.981607 1.28544 0
0.808 0.980415 1.28503 0
0.809 0.987922 1.2885 0
0.81 0.982491 1.28581 0
0.811 0.980761 1.28431 0
0.812 0.984551 1.28636 0
0.813 0.985472 1.28673 0
0.814 0.987014 1.28746 0
0.815 0.982538 1.28553 0
0.816 0.982233 1.28481 0
0.817 0.986447 1.28703 0
0.818 0.980461 1.2837 0
0.819 0.978504 1.28292 0
0.82 0.983951 1.28601 0
0.821 0.977173 1.28202 0
0.822 0.978634 1.2826 0
0.823 0.975424 1.28128 0
0.824 0.978613 1.28288 0
0.825 0.975911 1.28133 0
0.826 0.96993 1.27791 0
0.827 0.982759 1.28489 0
0.828 0.971723 1.27885 0
0.829 0.971578 1.27883 0
0.83 0.981093 1.28357 0
0.831 0.982928 1.28456 0
0.832 0.987264 1.28666 0
0.833 0.985769 1.28586 0
0.834 0.978512 1.28247 0
0.835 0.982341 1.28399 0
0.836 0.979185 1.28239 0
0.837 0.979842 1.28266 0
0.838 0.983939 1.28482 0
0.839 0.978386 1.28197 0
0.84 0.990141 1.28796 0
0.841 0.986309 1.28589 0
0.842 0.980899 1.28326 0
0.843 0.980643 1.28316 0
0.844 0.978775 1.28212 0
0.845 0.980884 1.28348 0
0.846 0.978781 1.28196 0
